COUNTY,Total Active Cases,Total Recovered,Total Deaths,Date
Adams,0,0,0,4/1/2020
Barnes,0,0,0,4/1/2020
Benson,0,0,0,4/1/2020
Billings,0,0,0,4/1/2020
Bottineau,0,0,0,4/1/2020
Bowman,0,0,0,4/1/2020
Burke,2,0,0,4/1/2020
Burleigh,17,2,0,4/1/2020
Cass,33,3,0,4/1/2020
Cavalier,0,0,0,4/1/2020
Dickey,0,0,0,4/1/2020
Divide,1,0,0,4/1/2020
Dunn,0,0,0,4/1/2020
Eddy,0,0,0,4/1/2020
Emmons,0,0,0,4/1/2020
Foster,0,1,0,4/1/2020
Golden Valley,0,0,0,4/1/2020
Grand Forks,4,1,0,4/1/2020
Grant,1,0,0,4/1/2020
Griggs,0,0,0,4/1/2020
Hettinger,0,0,0,4/1/2020
Kidder,0,0,0,4/1/2020
LaMoure,0,0,0,4/1/2020
Logan,0,0,0,4/1/2020
McHenry,0,0,0,4/1/2020
McIntosh,0,1,0,4/1/2020
McKenzie,2,0,0,4/1/2020
McLean,2,0,0,4/1/2020
Mercer,0,0,0,4/1/2020
Morton,8,0,0,4/1/2020
Mountrail,7,1,0,4/1/2020
Nelson,0,0,0,4/1/2020
Oliver,0,1,0,4/1/2020
Pembina,0,0,0,4/1/2020
Pierce,0,0,0,4/1/2020
Ramsey,1,0,0,4/1/2020
Ransom,0,0,0,4/1/2020
Renville,0,0,0,4/1/2020
Richland,0,0,0,4/1/2020
Rolette,0,0,0,4/1/2020
Sargent,0,0,0,4/1/2020
Sheridan,0,0,0,4/1/2020
Sioux,0,0,0,4/1/2020
Slope,0,0,0,4/1/2020
Stark,15,1,0,4/1/2020
Steele,0,0,0,4/1/2020
Stutsman,0,0,0,4/1/2020
Towner,0,0,0,4/1/2020
Traill,0,0,0,4/1/2020
Walsh,1,0,0,4/1/2020
Ward,8,0,0,4/1/2020
Wells,0,0,0,4/1/2020
Williams,4,0,0,4/1/2020
Unknown,0,0,0,4/1/2020
Adams,0,0,0,4/2/2020
Barnes,0,0,0,4/2/2020
Benson,0,0,0,4/2/2020
Billings,0,0,0,4/2/2020
Bottineau,0,0,0,4/2/2020
Bowman,0,0,0,4/2/2020
Burke,2,0,0,4/2/2020
Burleigh,13,4,0,4/2/2020
Cass,34,2,0,4/2/2020
Cavalier,0,0,0,4/2/2020
Dickey,0,0,0,4/2/2020
Divide,1,0,0,4/2/2020
Dunn,0,0,0,4/2/2020
Eddy,1,0,0,4/2/2020
Emmons,0,0,0,4/2/2020
Foster,0,0,0,4/2/2020
Golden Valley,0,0,0,4/2/2020
Grand Forks,5,0,0,4/2/2020
Grant,1,0,0,4/2/2020
Griggs,0,0,0,4/2/2020
Hettinger,0,0,0,4/2/2020
Kidder,0,0,0,4/2/2020
LaMoure,0,0,0,4/2/2020
Logan,0,0,0,4/2/2020
McHenry,0,0,0,4/2/2020
McIntosh,0,0,0,4/2/2020
McKenzie,2,0,0,4/2/2020
McLean,0,2,0,4/2/2020
Mercer,0,0,0,4/2/2020
Morton,10,0,0,4/2/2020
Mountrail,10,1,0,4/2/2020
Nelson,0,0,0,4/2/2020
Oliver,0,0,0,4/2/2020
Pembina,0,0,0,4/2/2020
Pierce,0,0,0,4/2/2020
Ramsey,1,0,0,4/2/2020
Ransom,0,0,0,4/2/2020
Renville,0,0,0,4/2/2020
Richland,0,0,0,4/2/2020
Rolette,0,0,0,4/2/2020
Sargent,0,0,0,4/2/2020
Sheridan,0,0,0,4/2/2020
Sioux,0,0,0,4/2/2020
Slope,1,0,0,4/2/2020
Stark,16,0,0,4/2/2020
Steele,0,0,0,4/2/2020
Stutsman,0,0,0,4/2/2020
Towner,0,0,0,4/2/2020
Traill,0,0,0,4/2/2020
Walsh,1,0,0,4/2/2020
Ward,7,1,0,4/2/2020
Wells,0,0,0,4/2/2020
Williams,5,0,0,4/2/2020
Unknown,0,0,0,4/2/2020
Adams,0,0,0,4/3/2020
Barnes,0,0,0,4/3/2020
Benson,0,0,0,4/3/2020
Billings,0,0,0,4/3/2020
Bottineau,0,0,0,4/3/2020
Bowman,0,0,0,4/3/2020
Burke,2,0,0,4/3/2020
Burleigh,12,3,0,4/3/2020
Cass,34,2,0,4/3/2020
Cavalier,0,0,0,4/3/2020
Dickey,0,0,0,4/3/2020
Divide,1,0,0,4/3/2020
Dunn,0,0,0,4/3/2020
Eddy,0,1,0,4/3/2020
Emmons,0,0,0,4/3/2020
Foster,0,0,0,4/3/2020
Golden Valley,0,0,0,4/3/2020
Grand Forks,9,0,0,4/3/2020
Grant,1,0,0,4/3/2020
Griggs,0,0,0,4/3/2020
Hettinger,0,0,0,4/3/2020
Kidder,0,0,0,4/3/2020
LaMoure,0,0,0,4/3/2020
Logan,0,0,0,4/3/2020
McHenry,0,0,0,4/3/2020
McIntosh,0,0,0,4/3/2020
McKenzie,2,0,0,4/3/2020
McLean,0,0,0,4/3/2020
Mercer,0,0,0,4/3/2020
Morton,10,0,0,4/3/2020
Mountrail,11,0,0,4/3/2020
Nelson,0,0,0,4/3/2020
Oliver,0,0,0,4/3/2020
Pembina,0,0,0,4/3/2020
Pierce,0,0,0,4/3/2020
Ramsey,1,0,0,4/3/2020
Ransom,0,0,0,4/3/2020
Renville,0,0,0,4/3/2020
Richland,0,0,0,4/3/2020
Rolette,0,0,0,4/3/2020
Sargent,0,0,0,4/3/2020
Sheridan,0,0,0,4/3/2020
Sioux,0,0,0,4/3/2020
Slope,1,0,0,4/3/2020
Stark,17,2,0,4/3/2020
Steele,0,0,0,4/3/2020
Stutsman,0,0,0,4/3/2020
Towner,0,0,0,4/3/2020
Traill,0,0,0,4/3/2020
Walsh,1,0,0,4/3/2020
Ward,7,1,0,4/3/2020
Wells,0,0,0,4/3/2020
Williams,5,0,0,4/3/2020
Unknown,0,0,0,4/3/2020
Adams,0,0,0,4/4/2020
Barnes,0,0,0,4/4/2020
Benson,0,0,0,4/4/2020
Billings,0,0,0,4/4/2020
Bottineau,0,0,0,4/4/2020
Bowman,0,0,0,4/4/2020
Burke,2,0,0,4/4/2020
Burleigh,15,0,0,4/4/2020
Cass,38,2,0,4/4/2020
Cavalier,0,0,0,4/4/2020
Dickey,0,0,0,4/4/2020
Divide,1,0,0,4/4/2020
Dunn,0,0,0,4/4/2020
Eddy,0,0,0,4/4/2020
Emmons,1,0,0,4/4/2020
Foster,0,0,0,4/4/2020
Golden Valley,0,0,0,4/4/2020
Grand Forks,10,0,0,4/4/2020
Grant,1,0,0,4/4/2020
Griggs,0,0,0,4/4/2020
Hettinger,0,0,0,4/4/2020
Kidder,0,0,0,4/4/2020
LaMoure,0,0,0,4/4/2020
Logan,0,0,0,4/4/2020
McHenry,0,0,0,4/4/2020
McIntosh,0,0,0,4/4/2020
McKenzie,3,0,0,4/4/2020
McLean,0,0,0,4/4/2020
Mercer,0,0,0,4/4/2020
Morton,10,0,0,4/4/2020
Mountrail,17,0,0,4/4/2020
Nelson,0,0,0,4/4/2020
Oliver,0,0,0,4/4/2020
Pembina,0,0,0,4/4/2020
Pierce,0,0,0,4/4/2020
Ramsey,1,0,0,4/4/2020
Ransom,0,0,0,4/4/2020
Renville,0,0,0,4/4/2020
Richland,0,0,0,4/4/2020
Rolette,0,0,0,4/4/2020
Sargent,0,0,0,4/4/2020
Sheridan,0,0,0,4/4/2020
Sioux,0,0,0,4/4/2020
Slope,1,0,0,4/4/2020
Stark,18,2,0,4/4/2020
Steele,0,0,0,4/4/2020
Stutsman,0,0,0,4/4/2020
Towner,0,0,0,4/4/2020
Traill,0,0,0,4/4/2020
Walsh,1,0,0,4/4/2020
Ward,7,0,0,4/4/2020
Wells,0,0,0,4/4/2020
Williams,5,0,0,4/4/2020
Unknown,0,0,0,4/4/2020
Adams,0,0,0,4/5/2020
Barnes,0,0,0,4/5/2020
Benson,0,0,0,4/5/2020
Billings,0,0,0,4/5/2020
Bottineau,0,0,0,4/5/2020
Bowman,0,0,0,4/5/2020
Burke,2,0,0,4/5/2020
Burleigh,15,1,0,4/5/2020
Cass,44,5,0,4/5/2020
Cavalier,0,0,0,4/5/2020
Dickey,0,0,0,4/5/2020
Divide,0,1,0,4/5/2020
Dunn,0,0,0,4/5/2020
Eddy,0,0,0,4/5/2020
Emmons,0,0,1,4/5/2020
Foster,0,0,0,4/5/2020
Golden Valley,0,0,0,4/5/2020
Grand Forks,10,0,0,4/5/2020
Grant,1,0,0,4/5/2020
Griggs,0,0,0,4/5/2020
Hettinger,0,0,0,4/5/2020
Kidder,0,0,0,4/5/2020
LaMoure,0,0,0,4/5/2020
Logan,0,0,0,4/5/2020
McHenry,0,0,0,4/5/2020
McIntosh,0,0,0,4/5/2020
McKenzie,3,0,0,4/5/2020
McLean,0,0,0,4/5/2020
Mercer,0,0,0,4/5/2020
Morton,11,0,0,4/5/2020
Mountrail,15,2,0,4/5/2020
Nelson,0,0,0,4/5/2020
Oliver,0,0,0,4/5/2020
Pembina,0,0,0,4/5/2020
Pierce,0,0,0,4/5/2020
Ramsey,1,0,0,4/5/2020
Ransom,0,0,0,4/5/2020
Renville,0,0,0,4/5/2020
Richland,0,0,0,4/5/2020
Rolette,0,0,0,4/5/2020
Sargent,0,0,0,4/5/2020
Sheridan,0,0,0,4/5/2020
Sioux,0,0,0,4/5/2020
Slope,2,0,0,4/5/2020
Stark,17,1,0,4/5/2020
Steele,0,0,0,4/5/2020
Stutsman,0,0,0,4/5/2020
Towner,0,0,0,4/5/2020
Traill,0,0,0,4/5/2020
Walsh,3,0,0,4/5/2020
Ward,9,0,0,4/5/2020
Wells,0,0,0,4/5/2020
Williams,5,0,0,4/5/2020
Unknown,0,0,0,4/5/2020
Adams,0,0,0,4/6/2020
Barnes,0,0,0,4/6/2020
Benson,0,0,0,4/6/2020
Billings,0,0,0,4/6/2020
Bottineau,0,0,0,4/6/2020
Bowman,1,0,0,4/6/2020
Burke,2,0,0,4/6/2020
Burleigh,16,0,0,4/6/2020
Cass,45,4,0,4/6/2020
Cavalier,0,0,0,4/6/2020
Dickey,0,0,0,4/6/2020
Divide,0,0,0,4/6/2020
Dunn,0,0,0,4/6/2020
Eddy,0,0,0,4/6/2020
Emmons,0,0,0,4/6/2020
Foster,0,0,0,4/6/2020
Golden Valley,0,0,0,4/6/2020
