COUNTY,Total Active Cases,Total Recovered,Total Deaths,Date
Stutsman,36,13,0,1/3/2022
Towner,3,2,0,1/3/2022
Traill,9,4,0,1/3/2022
Unknown,0,0,0,1/3/2022
Walsh,10,3,0,1/3/2022
Ward,113,44,0,1/3/2022
Wells,21,3,0,1/3/2022
Williams,65,20,0,1/3/2022
Adams,2,0,1,1/4/2022
Barnes,23,6,0,1/4/2022
Benson,10,2,0,1/4/2022
Billings,0,0,0,1/4/2022
Bottineau,10,5,0,1/4/2022
Bowman,1,2,0,1/4/2022
Burke,2,1,0,1/4/2022
Burleigh,384,97,0,1/4/2022
Cass,945,202,3,1/4/2022
Cavalier,5,2,0,1/4/2022
Dickey,8,3,0,1/4/2022
Divide,4,1,0,1/4/2022
Dunn,3,1,0,1/4/2022
Eddy,11,6,0,1/4/2022
Emmons,2,0,0,1/4/2022
Foster,6,0,0,1/4/2022
Golden Valley,1,1,0,1/4/2022
Grand Forks,335,68,0,1/4/2022
Grant,10,1,0,1/4/2022
Griggs,6,3,0,1/4/2022
Hettinger,6,3,0,1/4/2022
Kidder,2,0,0,1/4/2022
LaMoure,14,2,0,1/4/2022
Logan,4,1,0,1/4/2022
McHenry,7,1,0,1/4/2022
McIntosh,1,3,0,1/4/2022
McKenzie,34,8,0,1/4/2022
McLean,17,6,0,1/4/2022
Mercer,9,1,0,1/4/2022
Morton,143,27,0,1/4/2022
Mountrail,32,6,0,1/4/2022
Nelson,5,1,0,1/4/2022
Oliver,2,0,0,1/4/2022
Pembina,7,4,0,1/4/2022
Pierce,3,2,0,1/4/2022
Ramsey,31,3,0,1/4/2022
Ransom,8,3,0,1/4/2022
Renville,2,0,0,1/4/2022
Richland,18,4,0,1/4/2022
Rolette,237,6,0,1/4/2022
Sargent,7,0,0,1/4/2022
Sheridan,2,0,0,1/4/2022
Sioux,27,2,0,1/4/2022
Slope,0,0,0,1/4/2022
Stark,70,14,0,1/4/2022
Steele,5,0,0,1/4/2022
Stutsman,55,12,0,1/4/2022
Towner,3,1,0,1/4/2022
Traill,15,2,0,1/4/2022
Unknown,0,0,0,1/4/2022
Walsh,9,5,0,1/4/2022
Ward,166,44,0,1/4/2022
Wells,20,6,0,1/4/2022
Williams,71,25,1,1/4/2022
Adams,3,0,0,1/5/2022
Barnes,32,5,0,1/5/2022
Benson,12,1,0,1/5/2022
Billings,0,0,0,1/5/2022
Bottineau,11,4,0,1/5/2022
Bowman,2,1,0,1/5/2022
Burke,1,3,0,1/5/2022
Burleigh,501,88,0,1/5/2022
Cass,1225,187,0,1/5/2022
Cavalier,5,1,0,1/5/2022
Dickey,6,5,0,1/5/2022
Divide,6,2,0,1/5/2022
Dunn,4,0,0,1/5/2022
Eddy,7,6,0,1/5/2022
Emmons,3,3,0,1/5/2022
Foster,11,1,0,1/5/2022
Golden Valley,0,1,0,1/5/2022
Grand Forks,368,59,0,1/5/2022
